transcript,language,timestamp,user_id
"मेरे बॉयफ्रेंड ने मुझसे झगड़ा किया और फिर ब्लॉक कर दिया।",hi,"2025-05-16T12:25:00",user_201
"उसने मुझे चीटिंग के बारे में मैसेज भेजा था।",hi,"2025-05-16T12:30:00",user_202
"क्या कोई ऐसा तरीका है जिससे मैं उसे हमेशा के लिए ब्लॉक कर सकूं?",hi,"2025-05-16T12:35:00",user_203
"मुझे ब्रेकअप के बाद बहुत अकेलापन महसूस हो रहा है।",hi,"2025-05-16T12:40:00",user_204
"उसने मुझे ऑनलाइन बहुत हैरेस किया, मैं क्या करूं?",hi,"2025-05-16T12:45:00",user_205
"मैंने उसे ब्लॉक करने की कोशिश की लेकिन वह अभी भी मुझे मैसेज कर रहा है।",hi,"2025-05-16T12:50:00",user_206
"क्या आप मुझे बता सकते हैं कि किसी को अनब्लॉक कैसे करते हैं?",hi,"2025-05-16T12:55:00",user_207
"हमारे बीच बहुत लड़ाई होती थी, इसलिए हमने अलग होने का फैसला किया।",hi,"2025-05-16T13:00:00",user_208
"उसने मेरे बारे में बहुत बुरी बातें फैलाईं।",hi,"2025-05-16T13:05:00",user_209
"मैं चाहता हूँ कि वह मुझे कभी मैसेज न करे।",hi,"2025-05-16T13:10:00",user_210
