transcript,language,timestamp,user_id
"എന്റെ സുഹൃത്ത് എന്നെ അവഗണിക്കുകയും മറുപടി പറയാതിരിക്കുകയും ചെയ്യുന്നു.",ml,2024-05-02T09:15:00,user_501
"വീട്ടിലെ പ്രശ്നങ്ങൾ മനസിക സമ്മർദ്ദം ഉളവാക്കുന്നു.",ml,2024-05-02T10:30:00,user_502
"ഇന്റർനെറ്റിൽ എന്റെ പകർത്തി അപമാനിക്കുന്നു.",ml,2024-05-03T11:45:00,user_503
"ഞാൻ ജോലി നഷ്ടപ്പെട്ടു, എന്ത് ചെയ്യണമെന്ന് അറിയില്ല.",ml,2024-05-03T12:50:00,user_504
"എന്റെ പ്രിയപ്പെട്ടയാൾ എന്റെ സന്ദേശങ്ങൾക്കു മറുപടി തരുന്നില്ല.",ml,2024-05-04T13:20:00,user_505
"എന്റെ സ്വകാര്യത ലംഘിക്കപ്പെട്ടിരിക്കുന്നു.",ml,2024-05-04T14:40:00,user_506
"ഞാൻ സ്കൂളിൽ തള്ളിക്കളയപ്പെട്ടു.",ml,2024-05-05T15:35:00,user_507
"ഞാൻ എപ്പോഴും ഏകാന്തത അനുഭവപ്പെടുന്നു.",ml,2024-05-05T16:25:00,user_508
"സഹോദരിയുമായി വലിയ തർക്കമുണ്ടായി.",ml,2024-05-06T17:10:00,user_509
"പോസ്റ്റ് ചെയ്തത് കൊണ്ടാണ് എന്റെ സുഹൃത്തുക്കൾ റിപോർട്ട് ചെയ്തത്.",ml,2024-05-06T18:30:00,user_510
