transcript,language,timestamp,user_id
"என் நண்பர் எனக்கு பின் தொடரவில்லை, என்ன நடந்தது என்று தெரியவில்லை.",ta,2024-05-02T09:30:00,user_401
"ஒருவர் எனது தனிப்பட்ட தகவல்களை பிறரிடம் பகிர்ந்துள்ளார்.",ta,2024-05-02T10:45:00,user_402
"என் பெற்றோர் என்னை நம்ப மறுத்துவிட்டார்கள்.",ta,2024-05-03T11:00:00,user_403
"நான் வேலை இழந்துவிட்டேன், என்ன செய்வது என தெரியவில்லை.",ta,2024-05-03T12:15:00,user_404
"என் காதலன் என்னிடம் பேசவில்லை, மனதில் துன்பம் உள்ளது.",ta,2024-05-04T13:30:00,user_405
"நான் இணையத்தில் தவறாக புகழ்பெற்றேன்.",ta,2024-05-04T14:45:00,user_406
"எனது தோழி என்னை விட்டு விலகி விட்டாள்.",ta,2024-05-05T15:00:00,user_407
"எனக்கு தூக்கம் வரவில்லை, மனச்சோர்வு உள்ளது.",ta,2024-05-05T16:10:00,user_408
"என் முகம் பற்றிய தீங்கான கருத்துகள் என் மனதை காயப்படுத்தின.",ta,2024-05-06T17:25:00,user_409
"வீட்டில் உள்ள பிரச்சினைகள் காரணமாக நான் மிகவும் மன அழுத்தத்தில் இருக்கிறேன்.",ta,2024-05-06T18:35:00,user_410
